1,綏撫,すいぶ
1,跣足,せんそく
1,魑魅,ちみ
1,癲癇,てんかん
1,扼腕,やくわん
1,蠹害,とがい
1,歎美,たんび
1,怱忙,そうぼう
1,綽然,しゃくぜん
1,慳貪,けんどん
1,鹹味,かんみ
1,澆薄,ぎょうはく
1,瀉出,しゃしゅつ
1,慊焉,けんえん
1,瘠地,せきち
1,頽廃,たいはい
1,抛棄,ほうき
1,爛脱,らんだつ
1,閭門,りょもん
1,邁往,まいおう
1,悃願,こんがん
1,翹望,ぎょうぼう
1,篋底,きょうてい
1,紆余,うよ
1,剪除,せんじょ
1,嫩緑,どんりょく
1,駁論,ばくろん
1,庖丁,ほうちょう
1,膺懲,ようちょう
1,痙攣,けいれん
1,鶉居,じゅんきょ
1,箭眼,せんがん
1,啖呵,たんか
1,剽疾,ひょうしつ
1,輻射,ふくしゃ
1,倥偬,こうそう
1,奢侈,しゃし
1,燧烽,すいほう
1,阡陌,せんぱく
1,嘲戯,ちょうぎ
1,帑幣,どへい
1,拇印,ぼいん
1,黯然,あんぜん
1,誣告,ぶこく
1,茗園,めいえん
1,夭折,ようせつ
1,聊爾,りょうじ
1,綟網,もじあみ
1,癘気,れいき
1,絮説,じょせつ
1,酋長,しゅうちょう
1,髫齔,ちょうしん
1,鈑金,ばんきん
1,菲徳,ひとく
1,婢僕,ひぼく
1,鸞輿,らんよ
1,帷幔,いまん
1,蘊蓄,うんちく
1,岌岌,きゅうきゅう
1,譴責,けんせき
1,抒情,じょじょう
1,耽美,たんび
1,拈出,ねんしゅつ
1,贅肬,ぜいゆう
1,桎梏,しっこく
1,綾羅,りょうら
1,謬説,びゅうせつ
1,截然,せつぜん
1,駑鈍,どどん
1,雨潦,うろう
1,鴆毒,ちんどく
1,咄嗟,とっさ
1,揶揄,やゆ
1,蛹虫,ようちゅう
1,眩惑,げんわく
1,毫末,ごうまつ
1,赭顔,しゃがん
1,淫風,いんぷう
1,諂諛,てんゆ
1,牙籌,がちゅう
1,抉剔,けってき
1,鞆音,ともね
1,屏居,へいきょ
1,跋扈,ばっこ
1,寵辱,ちょうじょく
1,窈窕,ようちょう
1,咆哮,ほうこう
1,綢繆,ちゅうびゅう
1,戒飭,かいちょく
1,彷徨,ほうこう
1,石鏃,せきぞく
1,反噬,はんぜい
1,赫灼,かくしゃく
1,蝉蛻,せんぜい
1,委悉,いしつ
1,佶屈,きっくつ
1,膾炙,かいしゃ
1,嗜虐,しぎゃく
1,巫覡,ふげき
1,白皙,はくせき
1,門閾,もんいき
1,芥蔕,かいたい
1,偃蹇,えんけん
1,誄詞,るいし
1,石鹸,せっけん
1,慫慂,しょうよう
1,島嶼,とうしょ
1,空翠,くうすい
1,宸筆,しんぴつ
1,車站,しゃたん
1,叮嚀,ていねい
1,英邁,えいまい
1,関鑰,かんやく
1,滔天,とうてん
1,鹵莽,ろもう
1,孵化,ふか
1,勿怪,もっけ
1,薙髪,ちはつ
1,鼎坐,ていざ
1,彷彿,ほうふつ
1,譎詐,けっさ
1,耄耋,ぼうてつ
1,勿論,もちろん
1,虧盈,きえい
1,筮竹,ぜいちく
1,進陟,しんちょく
1,推輓,すいばん
1,羶血,せんけつ
1,冕旒,べんりゅう
1,靄然,あいぜん
1,旌表,せいひょう
1,蹂躙,じゅうりん
1,弛緩,しかん
1,諠譁,けんか
1,嶮路,けんろ
1,喇叭,らっぱ
1,澗泉,かんせん
1,鼇頭,ごうとう
1,花瞼,かけん
1,喘息,ぜんそく
1,甲冑,かっちゅう
1,煤煙,ばいえん
1,馮河,ひょうが
1,愁悶,しゅうもん
1,梵唄,ぼんばい
1,聚斂,しゅうれん
1,蟠踞,ばんきょ
1,炯眼,けいがん
1,毀傷,きしょう
1,街衢,がいく
1,嬌羞,きょうしゅう
1,羈紲,きせつ
1,波濤,はとう
1,萍水,へいすい
1,阿諛,あゆ
1,寥落,りょうらく
1,簫鼓,しょうこ
1,輻輳,ふくそう
1,踉蹌,ろうそう
1,舐犢,しとく
1,瘢痕,はんこん
1,埴輪,はにわ
1,畿甸,きでん
1,眩暈,げんうん
1,堰堤,えんてい
1,掎角,きかく
1,直截,ちょくせつ
1,懦弱,だじゃく
1,斧鑿,ふさく
1,懊悩,おうのう
1,聊頼,りょうらい
1,嘲罵,ちょうば
1,剽窃,ひょうせつ
1,爛発,らんぱつ
1,憫諒,びんりょう
1,毫毛,ごうもう
1,鹹湖,かんこ
1,剪裁,せんさい
1,澆漓,ぎょうり
1,巨擘,きょはく
1,鼎峙,ていじ
1,瀉下,しゃか
1,爛漫,らんまん
1,頽勢,たいせい
1,藜羹,れいこう
1,跋文,ばつぶん
1,爛然,らんぜん
1,紆曲,うきょく
1,剪定,せんてい
1,駁撃,ばくげき
1,剽悍,ひょうかん
1,奢靡,しゃび
1,燧火,すいか
1,褻言,せつげん
1,嘲弄,ちょうろう
1,夭逝,ようせい
1,菲才,ひさい
1,謬見,びゅうけん
1,蛹化,ようか
1,社稷,しゃしょく
1,毫髪,ごうはつ
1,跋渉,ばっしょう
1,窈然,ようぜん
1,謹飭,きんちょく
1,知悉,ちしつ
1,嗜眠,しみん
1,鼎談,ていだん
1,懦夫,だふ
1,煩悶,はんもん
1,顰蹙,ひんしゅく
1,蟠屈,ばんくつ
1,炯然,けいぜん
1,嬌艶,きょうえん
1,面諛,めんゆ
1,断截,だんせつ
1,蟄居,ちっきょ
1,懾伏,しょうふく
1,遯月,とんげつ
1,脛骨,けいこつ
1z,捺印,なついん
1z,艶姿,あですがた
1z,輔弼,ほひつ
1z,嫉妬,しっと
1z,木鐸,ぼくたく
1z,八重葎,やえむぐら
1z,杏林,きょうりん
1z,厩舎,きゅうしゃ
1z,畢生,ひっせい
1z,鍍金,めっき
1z,鼎談,ていだん
1z,檜扇,ひおうぎ
1z,砧声,ちんせい
1z,堆積,たいせき
1z,夜叉,やしゃ
1z,匡正,きょうせい
1z,弘誓,ぐぜい
1z,俗諺,ぞくげん
1z,蕪辞,ぶじ
1z,戎馬,じゅうば
1z,矢鱈,やたら
1z,揖譲,ゆうじょう
1z,形骸,けいがい
1z,洞察,どうさつ
1z,塵芥,じんかい
1z,吻合,ふんごう
1z,一瞥,いちべつ
1z,兜巾,ときん
1z,允可,いんか
1z,唖然,あぜん
1z,集輯,しゅうしゅう
1z,翫弄,がんろう
1z,廟議,びょうぎ
1z,螺旋,らせん
1z,灼熱,しゃくねつ
1z,佃煮,つくだに
1z,壺中,こちゅう
1z,凌雲,りょううん
1z,酒肴,しゅこう
1z,芳醇,ほうじゅん
1z,老爺,ろうや
1z,尖端,せんたん
1z,旺盛,おうせい
1z,雌蕊,めしべ
1z,湛然,たんぜん
1z,暢達,ちょうたつ
1z,嚢中,のうちゅう
1z,馴致,じゅんち
1z,箪笥,たんす
1z,賭博,とばく
1z,枕頭,ちんとう
1z,鶯遷,おうせん
1z,兇刃,きょうじん
